"genes"	"custom_sample1"	"custom_sample2"	"custom_sample3"	"custom_sample4"	"custom_sample5"	"custom_sample6"	"custom_sample7"	"custom_sample8"
"CD38"	24.4643457410402	1.1045188138434	2.92172675560245	89.0355706163615	6.64337504242261	8.50253355383552	2.86930236725387	0
"FKBP4"	103.780699667003	136.236440569806	122.750308552384	31.5107842616923	53.737529916311	48.3251110354461	125.810859871318	53.6890075822927
"KDM1A"	5.71130566831251	8.27472481478301	10.8331429162795	3.7695792374743	2.21800940901028	0	3.81929685871365	3.47239254617791
"RBM6"	67.3485746893304	50.5424865080022	25.3971801106239	80.099655441943	39.1832649415521	57.5542675602473	35.9588094446638	52.5502357725496
"CAMKK1"	4.86693668242706	5.29938080585991	11.894547349569	0	0	14.5649013121927	2.78582553676289	6.5415240165398
"RECQL"	18.4505410143445	45.1966534646519	19.7708857370228	44.5379422172427	52.3561014720995	26.8421006761408	13.5032179782628	17.1300980128537
"VPS50"	4.27763819845994	7.61410527998175	4.10480767606293	10.5283140944628	2.899281706496	2.57851481685532	7.10059667910036	0
"HSPB6"	0	1.152016631898	3.54830613854622	0	2.630897810326	0	0.85589125980062	2.61515465997735
"ARHGAP33"	0	0.434433003182584	1.30415496997439	0	0	0	0	2.10440971473362
"NDUFAB1"	57.0676566197784	182.829783619547	129.685962799159	80.3580525331143	76.8143552215553	101.012670614688	126.658738502517	82.3023205539753
"PDK4"	0	107.17016229452	12.049936241772	3.98373823192167	0	0	38.6065439295378	8.87587862998882
"SLC22A16"	0	7.57858530740125	2.15393422573419	0	0	0	1.28932785911837	0
"ZMYND10"	4.91738372270471	1.65905050743671	0	0	0	0	1.17262144057307	0
"ABCB5"	0	0.783181356252277	0	0	0	0	0	0
"ARX"	0	0	0	0	0	0	0	0
"SLC25A13"	7.38518865701571	54.730243934751	12.0095986374478	2.91280451163051	0	9.59548568570191	3.3509130231166	0
"ST7"	2.25602793753971	7.70712612895629	1.00134650629064	1.60821093989946	0	6.56717345765179	5.89874456939492	9.559666294866
"CDC27"	19.9329491575305	15.0260900272481	22.9003861464987	13.8919109109351	8.30337128551022	0	17.8410535979744	6.82387460009471
"SLC4A1"	0	0	0	0	0	0	0	0
"CALCR"	0	0	0	0	0	0	0	0
"HCCS"	15.4310010088922	15.1367907315951	32.3977147990229	7.2560139372787	5.26574455019797	8.68765336857621	22.4850799784195	0.963111653405378
"DVL2"	21.557285963977	16.8973075356098	6.33731136892149	25.8872908764999	5.44524650007535	13.494590998254	7.2924336348761	29.5441519168684
"PRSS22"	0	0	0	0	0	4.00598782909431	0	2.64828585153679
"UPF1"	5.88984614196816	16.6726491758436	13.9031872227823	5.47639137372062	8.30192495400464	8.85667057899271	2.00687663528926	0
"SKAP2"	71.1517162500005	89.6036320666406	97.325168010492	36.4826010772267	20.9983453871432	12.5141824147122	80.7562102594494	35.1657679336449
"SLC25A5"	283.336460266412	342.028815568357	261.786588192393	247.058763958306	283.363704880331	242.3968757241	371.259464499293	205.142671498508
"MCUB"	85.1789357648035	54.2662199326094	79.9782987011122	31.007203933828	118.733422634633	61.7614765958228	31.7529612890063	42.7699250977315
"HOXA11"	0	0	0	0	0	0	2.09858422909747	0
"POLR2J"	78.9376701516395	156.584669441969	111.984862718628	86.4361235763061	91.0815657726854	83.2874483607924	124.392866625546	114.083405361776
"DHX33"	5.63304172000662	9.25625453908878	2.1040240665722	0	0	9.06696467040999	0	0.963111653405378
"MEOX1"	0	0	0	0	0	0	0	3.43815871345986
"THSD7A"	0	1.29246121218989	0	0	0	0	0	1.71373865105325
"LIG3"	7.93518079270348	4.080083027807	0	1.96913958456891	5.84115177039337	7.16794683879943	0.398669496642664	0
"RPAP3"	36.1286093429797	9.99853216596921	6.32483175069226	12.1130428437482	29.1939219614867	13.3387201434218	9.94623926711991	21.6023448896188
"ACSM3"	2.35690075578902	4.26878477856766	0	0	14.7713147225103	5.42660328462021	2.87262089601191	0
"REXO5"	0	0	14.5295547001218	0.406904703817399	0	0	1.09783220242084	0
"CIAPIN1"	12.0502174560219	11.1507987546476	20.2160074622313	32.2605509318791	9.25225805299936	18.2153551351295	13.8327056626943	6.07617680371198
"SPPL2B"	27.7440496728237	8.90387739268919	6.51911316792996	6.77524640469974	0	8.89224138312003	7.04128050329495	19.3977932920149
"FAM214B"	2.70502835610682	23.3953126355053	36.5508249845238	5.12631274269872	3.47408913935953	15.5446430054715	20.9716505675476	8.6617969418834
"COPZ2"	2.42222693873454	0	0.862084922213087	3.82970295477539	0	0	1.28932785911837	0
"PRKAR2B"	0	5.7641161101153	11.3858960672018	0.406904703817399	0	0	7.90454169087781	0
"MSL3"	38.4794057957835	22.2137149405252	46.4887991618344	17.1433884250755	60.5185628222115	10.010799547711	32.699315388854	25.4422644106775
"CREBBP"	35.3449603280799	21.7800059632939	25.3945387161151	20.4597620834906	8.12535670251554	22.4122369280342	26.6997386693643	13.3364631311596
"TSPOAP1"	0	0	0	2.17982266347006	3.69826382739264	21.4491259128249	0	0
"MPO"	0	0.610830044965682	0	0	0	0	0.857404491122603	0
"PON1"	0	0	0	0	0	0	0	0
"GCFC2"	10.3791019214242	4.84887685042296	5.66720245327393	8.31183086137766	8.2120384842658	2.8011147220174	9.58578351138494	0
"WDR54"	29.5717731848316	1.1045188138434	3.91867308047686	19.4904707133494	22.220760275174	36.3749859743144	4.1860699818	35.0371636057528
